TEAM	MATCH_UP	GAME_DATE	W/L	MIN	OFFRTG	DEFRTG	NETRTG	AST%	AST/TO	ASTRAT	OREB%	DREB%	REB%	TOV%	EFG%	TS%	PACE	PIE
NOP	NOP @ SAS	12/02/2022	W	48	113.6	94.3	19.3	62.5	2.78	18.1	18.9	74.2	48.7	8.7	50.0	56.6	104.00	61.5
DAL	DAL @ DET	12/01/2022	L	53	117.9	122.4	-4.5	54.3	1.92	18.2	12.8	65.2	38.7	12.3	64.5	63.3	96.45	44.3
DET	DET vs. DAL	12/01/2022	W	53	122.4	117.9	4.5	56.9	2.23	19.1	34.8	87.2	61.3	12.1	62.2	62.6	96.45	55.7
LAC	LAC @ UTA	11/30/2022	L	48	115.5	127.6	-12.1	43.2	1.45	11.8	40.7	59.0	48.0	11.3	45.2	51.5	97.50	39.3
SAS	SAS @ OKC	11/30/2022	L	48	108.8	119.0	-10.2	65.9	2.45	18.9	28.6	67.3	46.7	10.8	50.0	53.9	101.00	47.9
UTA	UTA vs. LAC	11/30/2022	W	48	127.6	115.5	12.1	53.3	1.33	17.5	41.0	59.3	52.0	18.4	64.2	67.0	97.50	60.7
TOR	TOR @ NOP	11/30/2022	L	48	102.9	121.2	-18.3	69.0	1.81	20.4	18.4	72.7	44.1	15.2	54.0	56.0	104.50	41.3
HOU	HOU @ DEN	11/30/2022	L	48	106.4	127.7	-21.3	48.6	1.29	14.0	32.1	72.5	49.5	14.9	48.9	52.1	94.00	37.0
NYK	NYK vs. MIL	11/30/2022	L	48	107.3	114.7	-7.4	42.9	2.25	13.1	37.1	71.7	53.0	8.3	45.0	47.3	95.50	42.1
ORL	ORL vs. ATL	11/30/2022	L	48	105.9	122.5	-16.7	66.7	1.44	19.4	16.3	66.7	42.0	17.6	54.4	60.0	102.00	41.4
POR	POR @ LAL	11/30/2022	L	48	110.1	129.3	-19.2	50.0	1.75	15.7	27.5	69.2	48.5	12.1	51.1	54.9	99.00	41.4
CLE	CLE vs. PHI	11/30/2022	W	48	122.8	92.4	30.4	62.2	1.47	22.0	23.3	78.3	56.6	20.7	70.9	72.1	92.00	66.8
MIN	MIN vs. MEM	11/30/2022	W	48	106.9	100.0	6.9	63.4	2.00	18.8	20.0	50.9	36.2	12.7	52.8	56.0	101.50	57.3
WAS	WAS @ BKN	11/30/2022	L	48	107.0	111.9	-4.9	48.7	1.36	13.8	37.0	88.9	60.6	14.0	47.2	51.5	100.50	45.6
MIL	MIL @ NYK	11/30/2022	W	48	114.7	107.3	7.4	59.0	3.83	17.3	28.3	62.9	47.0	6.3	48.9	53.7	95.50	57.9
OKC	OKC vs. SAS	11/30/2022	W	48	119.0	108.8	10.2	35.4	1.42	12.8	32.7	71.4	53.3	12.0	55.9	57.6	101.00	52.1
CHI	CHI @ PHX	11/30/2022	L	48	108.7	126.9	-18.3	51.2	1.75	16.0	13.3	73.3	43.3	11.5	52.4	58.5	104.00	46.2
PHI	PHI @ CLE	11/30/2022	L	48	92.4	122.8	-30.4	59.4	1.19	15.7	21.7	76.7	43.4	17.4	45.5	50.0	92.00	33.2
MEM	MEM @ MIN	11/30/2022	L	48	100.0	106.9	-6.9	45.9	0.63	11.8	49.1	80.0	63.8	26.7	47.7	50.4	101.50	42.7
MIA	MIA @ BOS	11/30/2022	L	48	123.5	135.4	-11.9	53.2	1.67	18.5	27.9	68.4	46.9	15.3	62.2	64.4	98.50	44.0
BKN	BKN vs. WAS	11/30/2022	W	48	111.9	107.0	4.9	56.4	2.44	17.2	11.1	63.0	39.4	8.9	53.0	59.2	100.50	54.4
IND	IND @ SAC	11/30/2022	L	48	100.0	120.2	-20.2	70.0	1.87	17.8	23.1	72.9	44.2	13.2	46.0	50.4	114.00	40.0
PHX	PHX vs. CHI	11/30/2022	W	48	126.9	108.7	18.3	44.9	1.57	15.9	26.7	86.7	56.7	13.5	60.8	64.6	104.00	53.8
BOS	BOS vs. MIA	11/30/2022	W	48	135.4	123.5	11.9	69.6	1.78	22.5	31.6	72.1	53.1	18.2	68.7	72.0	98.50	56.0
SAC	SAC vs. IND	11/30/2022	W	48	120.2	100.0	20.2	58.3	1.56	18.2	27.1	76.9	55.8	15.8	58.9	63.6	114.00	60.0
NOP	NOP vs. TOR	11/30/2022	W	48	121.2	102.9	18.3	62.2	1.40	19.4	27.3	81.6	55.9	19.2	60.5	64.7	104.50	58.7
DEN	DEN vs. HOU	11/30/2022	W	48	127.7	106.4	21.3	68.2	2.50	22.2	27.5	67.9	50.5	12.8	63.3	65.4	94.00	63.0
LAL	LAL vs. POR	11/30/2022	W	48	129.3	110.1	19.2	58.3	3.50	19.6	30.8	72.5	51.5	8.1	56.7	59.0	99.00	58.6
ATL	ATL @ ORL	11/30/2022	W	48	122.5	105.9	16.7	49.0	2.08	17.6	33.3	83.7	58.0	11.8	58.5	61.1	102.00	58.6
DET	DET vs. NYK	11/29/2022	L	48	107.8	137.3	-29.4	66.7	1.75	20.3	17.8	59.1	38.2	15.7	58.4	59.9	102.00	39.3
GSW	GSW @ DAL	11/29/2022	L	48	108.7	111.5	-2.9	64.3	1.50	19.0	23.4	75.4	51.9	17.3	54.0	57.6	104.00	53.6
NYK	NYK @ DET	11/29/2022	W	48	137.3	107.8	29.4	57.4	2.21	20.5	40.9	82.2	61.8	13.7	64.6	66.5	102.00	60.7
DAL	DAL vs. GSW	11/29/2022	W	48	111.5	108.7	2.9	50.0	1.50	15.1	24.6	76.6	48.1	13.5	54.4	56.4	104.00	46.4
LAC	LAC @ POR	11/29/2022	W	48	122.9	116.7	6.3	63.4	2.00	18.4	35.8	72.0	53.4	13.5	53.4	58.2	96.00	53.0
POR	POR vs. LAC	11/29/2022	L	48	116.7	122.9	-6.3	57.1	2.18	18.0	28.0	64.2	46.6	11.5	56.1	58.0	96.00	47.0
PHX	PHX @ SAC	11/28/2022	W	48	117.3	111.4	5.9	52.0	1.53	18.1	31.1	79.5	55.1	16.3	58.5	60.9	104.50	49.5
BOS	BOS vs. CHA	11/28/2022	W	48	140.0	105.0	35.0	72.7	2.50	26.3	34.2	67.4	52.4	16.0	72.0	72.9	100.00	63.5
HOU	HOU @ DEN	11/28/2022	L	48	116.5	133.0	-16.5	64.1	1.47	18.1	34.0	65.9	48.4	17.5	55.3	58.9	97.00	39.6
BKN	BKN vs. ORL	11/28/2022	W	48	114.7	107.4	7.4	45.5	1.11	16.0	25.6	74.5	52.3	18.9	59.9	62.5	95.00	57.6
MIN	MIN @ WAS	11/28/2022	L	48	123.3	136.5	-13.2	47.6	1.11	14.2	39.1	80.0	58.1	17.5	54.2	62.0	103.50	41.4
SAC	SAC vs. PHX	11/28/2022	L	48	111.4	117.3	-5.9	69.6	2.00	21.9	20.5	68.9	44.9	15.2	57.4	61.0	104.50	50.5
IND	IND @ LAL	11/28/2022	W	48	112.6	112.7	-0.1	67.4	2.90	19.0	33.3	67.9	49.6	9.7	49.0	51.8	102.50	49.4
UTA	UTA vs. CHI	11/28/2022	L	48	111.5	115.2	-3.7	73.2	2.14	22.1	21.3	69.2	46.5	14.6	59.4	58.4	97.50	48.2
TOR	TOR vs. CLE	11/28/2022	W	48	108.7	94.6	14.1	62.2	1.92	18.3	25.5	72.4	51.4	13.0	51.2	54.7	92.50	56.4
ATL	ATL @ PHI	11/28/2022	L	48	104.1	109.5	-5.3	70.3	1.30	19.4	28.2	76.6	54.7	20.6	58.1	60.3	96.00	49.9
PHI	PHI vs. ATL	11/28/2022	W	48	109.5	104.1	5.3	59.0	1.92	17.8	23.4	71.8	45.3	12.6	51.2	55.4	96.00	50.1
LAL	LAL vs. IND	11/28/2022	L	48	112.7	112.6	0.1	57.5	1.64	16.1	32.1	66.7	50.4	13.7	48.9	53.9	102.50	50.6
NOP	NOP vs. OKC	11/28/2022	W	48	102.9	99.0	3.9	53.8	0.95	15.0	34.7	63.8	50.5	21.6	50.0	54.8	102.00	58.4
CHA	CHA @ BOS	11/28/2022	L	48	105.0	140.0	-35.0	66.7	1.40	19.6	32.6	65.8	47.6	20.0	55.2	56.7	100.00	36.5
WAS	WAS vs. MIN	11/28/2022	W	48	136.5	123.3	13.2	59.6	4.43	21.7	20.0	60.9	41.9	6.7	65.4	69.0	103.50	58.6
DEN	DEN vs. HOU	11/28/2022	W	48	133.0	116.5	16.5	62.0	2.21	21.8	34.1	66.0	51.6	14.4	63.6	66.6	97.00	60.4
ORL	ORL @ BKN	11/28/2022	L	48	107.4	114.7	-7.4	47.4	1.00	14.4	25.5	74.4	47.7	18.9	55.6	56.9	95.00	42.4
OKC	OKC @ NOP	11/28/2022	L	48	99.0	102.9	-3.9	47.1	0.84	11.6	36.2	65.3	49.5	18.6	43.5	49.5	102.00	41.6
CLE	CLE @ TOR	11/28/2022	L	48	94.6	108.7	-14.1	61.8	2.10	16.2	27.6	74.5	48.6	10.8	41.7	45.3	92.50	43.6
CHI	CHI @ UTA	11/28/2022	W	48	115.2	111.5	3.7	48.8	2.63	15.6	30.8	78.7	53.5	8.1	49.5	54.8	97.50	51.8
GSW	GSW @ MIN	11/27/2022	W	48	130.5	108.6	21.9	72.0	2.25	24.0	23.7	80.8	56.7	15.2	69.0	71.5	105.00	63.4
POR	POR @ BKN	11/27/2022	L	48	107.8	123.3	-15.6	77.1	2.08	20.8	29.2	86.8	54.7	14.4	51.9	54.7	90.00	44.2
ATL	ATL vs. MIA	11/27/2022	L	48	99.0	107.1	-8.1	68.6	2.00	17.9	20.4	84.1	49.0	12.1	45.5	50.9	99.00	44.1
DET	DET vs. CLE	11/27/2022	L	48	101.1	109.7	-8.6	38.9	0.88	11.5	30.6	68.1	49.0	17.2	50.6	52.0	93.00	42.9
NYK	NYK vs. MEM	11/27/2022	L	48	124.2	128.3	-4.0	68.2	3.75	21.3	25.5	60.4	44.0	8.1	56.3	61.4	99.00	49.5
MIA	MIA @ ATL	11/27/2022	W	48	107.1	99.0	8.1	70.0	2.00	20.9	15.9	79.6	51.0	14.1	54.3	58.7	99.00	55.9
DAL	DAL @ MIL	11/27/2022	L	48	116.2	127.8	-11.7	56.1	1.77	17.6	20.9	72.5	45.8	13.1	61.9	63.2	98.00	44.8
MEM	MEM @ NYK	11/27/2022	W	48	128.3	124.2	4.0	69.6	2.91	21.1	39.6	74.5	56.0	11.1	54.7	58.4	99.00	50.5
MIN	MIN vs. GSW	11/27/2022	L	48	108.6	130.5	-21.9	56.4	1.57	16.2	19.2	76.3	43.3	13.3	52.3	56.6	105.00	36.6
ORL	ORL vs. PHI	11/27/2022	L	48	105.1	135.7	-30.6	58.3	1.31	16.4	19.1	75.9	40.8	16.3	53.2	57.2	98.00	32.3
LAC	LAC vs. IND	11/27/2022	W	48	105.6	93.5	12.1	78.6	1.83	20.4	38.9	79.7	60.2	16.7	47.9	52.7	107.50	61.6
MIL	MIL vs. DAL	11/27/2022	W	48	127.8	116.2	11.7	58.3	2.00	20.6	27.5	79.1	54.2	14.4	65.7	67.0	98.00	55.2
BOS	BOS vs. WAS	11/27/2022	W	48	138.3	128.7	9.6	56.8	1.79	18.9	36.1	78.0	58.4	14.9	65.0	71.1	94.00	52.4
CLE	CLE @ DET	11/27/2022	W	48	109.7	101.1	8.6	42.4	1.00	11.5	31.9	69.4	51.0	15.1	48.1	55.7	93.00	57.1
IND	IND @ LAC	11/27/2022	L	48	93.5	105.6	-12.1	63.9	1.77	16.2	20.3	61.1	39.8	12.1	43.1	48.0	107.50	38.4
WAS	WAS @ BOS	11/27/2022	L	48	128.7	138.3	-9.6	52.3	5.75	18.3	22.0	63.9	41.6	4.3	57.9	62.7	94.00	47.6
BKN	BKN vs. POR	11/27/2022	W	48	123.3	107.8	15.6	65.9	3.38	22.3	13.2	70.8	45.3	8.9	62.2	64.6	90.00	55.8
PHI	PHI @ ORL	11/27/2022	W	48	135.7	105.1	30.6	64.0	2.00	23.4	24.1	80.9	59.2	16.3	72.1	74.8	98.00	67.7
PHX	PHX vs. UTA	11/26/2022	W	48	120.2	119.1	1.1	54.8	3.83	16.9	35.2	76.7	53.6	6.4	48.9	53.7	94.00	51.2
SAS	SAS vs. LAL	11/26/2022	L	48	129.0	132.4	-3.4	62.3	3.30	20.9	32.7	83.3	52.7	9.3	59.0	60.6	107.50	46.7
DAL	DAL @ TOR	11/26/2022	L	48	105.3	111.7	-6.4	80.0	1.75	21.5	17.5	62.3	43.0	16.8	55.5	59.8	94.50	49.4
HOU	HOU vs. OKC	11/26/2022	W	48	112.4	99.1	13.3	55.6	1.00	17.5	31.7	70.5	54.9	23.8	62.8	64.0	105.50	59.1
LAL	LAL @ SAS	11/26/2022	W	48	132.4	129.0	3.4	53.2	1.47	18.0	16.7	67.3	47.3	15.7	68.5	73.5	107.50	53.3
OKC	OKC @ HOU	11/26/2022	L	48	99.1	112.4	-13.3	50.0	1.27	13.3	29.5	68.3	45.1	14.2	44.3	49.0	105.50	40.9
UTA	UTA @ PHX	11/26/2022	L	48	119.1	120.2	-1.1	50.0	1.67	16.1	23.3	64.8	46.4	12.8	58.9	62.2	94.00	48.8
TOR	TOR vs. DAL	11/26/2022	W	48	111.7	105.3	6.4	52.6	1.54	14.9	37.7	82.5	57.0	13.8	47.7	52.8	94.50	50.6
POR	POR @ NYK	11/25/2022	W	53	120.0	118.3	1.7	57.1	1.85	16.0	32.7	68.3	52.3	11.8	55.3	61.4	99.17	53.3
CHA	CHA vs. MIN	11/25/2022	W	48	100.9	100.0	0.9	60.0	1.33	16.2	28.8	76.8	53.7	16.5	49.4	53.4	108.50	52.9
DEN	DEN @ LAC	11/25/2022	W	48	122.6	111.8	10.8	61.4	4.50	20.1	29.8	80.6	51.8	6.5	55.1	57.5	93.00	56.0
MIA	MIA vs. WAS	11/25/2022	W	48	113.4	109.2	4.2	57.1	1.85	17.8	29.2	66.1	49.0	13.4	51.1	55.5	97.50	50.9
SAS	SAS vs. LAL	11/25/2022	L	48	92.2	102.9	-10.8	55.3	1.31	14.6	34.4	69.6	49.1	15.7	41.0	43.9	102.00	38.6
OKC	OKC vs. CHI	11/25/2022	W	53	111.8	108.2	3.6	54.5	1.85	16.3	26.9	72.4	50.9	11.8	50.0	56.4	99.62	55.3
