TEAM	MATCH_UP	GAME_DATE	W/L	MIN	OFFRTG	DEFRTG	NETRTG	AST%	AST/TO	ASTRAT	OREB%	DREB%	REB%	TOV%	EFG%	TS%	PACE	PIE
MEM	MEM vs. NOP	04/09/2022	W	48	133.0	107.5	25.5	77.4	2.16	25.6	33.3	69.1	54.3	17.9	68.9	70.4	106.00	66.1
SAC	SAC @ LAC	04/09/2022	L	48	98.0	118.2	-20.2	63.2	1.85	17.6	23.1	76.1	48.0	13.0	48.3	50.7	99.50	44.0
GSW	GSW @ SAS	04/09/2022	W	48	103.1	95.9	7.2	69.7	1.92	17.3	25.5	82.4	53.9	12.4	45.7	52.3	97.50	56.3
PHI	PHI vs. IND	04/09/2022	W	48	129.1	116.5	12.6	74.0	2.47	23.7	38.1	75.6	56.6	14.6	62.2	65.3	103.00	56.9
WAS	WAS vs. NYK	04/08/2022	L	48	93.9	116.3	-22.4	60.0	0.95	17.4	5.7	77.1	47.0	22.4	57.2	60.1	98.00	40.8
MIL	MIL @ DET	04/08/2022	W	48	126.0	96.2	29.8	58.0	3.63	19.7	26.4	78.6	53.2	7.7	55.0	58.9	104.50	61.6
LAL	LAL vs. OKC	04/08/2022	W	48	120.0	100.0	20.0	56.1	2.30	17.3	21.7	76.9	51.0	10.0	55.5	60.5	100.50	60.5
ATL	ATL @ MIA	04/08/2022	L	48	112.4	116.5	-4.1	40.5	1.13	13.0	35.4	83.3	56.0	15.5	52.3	56.6	97.00	45.7
DAL	DAL vs. POR	04/08/2022	W	48	128.0	81.3	46.8	59.5	1.67	18.1	32.5	83.3	61.7	15.0	65.8	69.1	98.00	77.1
MIA	MIA vs. ATL	04/08/2022	W	48	116.5	112.4	4.1	50.0	1.18	16.3	16.7	64.6	44.0	17.5	63.2	67.0	97.00	54.3
NYK	NYK @ WAS	04/08/2022	W	48	116.3	93.9	22.4	65.9	2.70	19.9	22.9	94.3	53.0	10.2	55.7	58.9	98.00	59.2
CHI	CHI vs. CHA	04/08/2022	L	48	124.5	140.0	-15.5	56.8	2.08	19.5	23.1	73.5	46.6	12.8	61.6	64.4	94.50	43.6
BKN	BKN vs. CLE	04/08/2022	W	48	126.9	115.1	11.8	69.8	2.73	20.8	42.9	75.6	58.5	11.8	53.3	58.3	93.00	58.3
HOU	HOU @ TOR	04/08/2022	L	48	111.7	113.6	-1.9	55.8	1.26	17.6	22.5	73.1	51.1	18.4	59.3	62.8	103.00	49.4
POR	POR @ DAL	04/08/2022	L	48	81.3	128.0	-46.8	64.5	1.18	16.0	16.7	67.5	38.3	17.7	41.6	44.2	98.00	22.9
CHA	CHA @ CHI	04/08/2022	W	48	140.0	124.5	15.5	65.4	3.09	24.6	26.5	76.9	53.4	11.6	71.5	73.6	94.50	56.4
TOR	TOR vs. HOU	04/08/2022	W	48	113.6	111.7	1.9	45.5	2.00	14.6	26.9	77.5	48.9	9.7	49.5	55.1	103.00	50.6
DET	DET vs. MIL	04/08/2022	L	48	96.2	126.0	-29.8	77.1	1.93	18.8	21.4	73.6	46.8	13.3	44.4	50.4	104.50	38.4
PHX	PHX @ UTA	04/08/2022	W	48	112.1	107.1	5.0	58.7	2.08	19.4	30.4	69.6	52.0	13.1	53.3	56.3	98.50	55.6
UTA	UTA vs. PHX	04/08/2022	L	48	107.1	112.1	-5.0	57.1	1.82	14.9	30.4	69.6	48.0	11.2	46.0	51.2	98.50	44.4
CLE	CLE @ BKN	04/08/2022	L	48	115.1	126.9	-11.8	47.5	2.11	15.4	24.4	57.1	41.5	9.7	53.7	57.8	93.00	41.7
OKC	OKC @ LAL	04/08/2022	L	48	100.0	120.0	-20.0	52.5	1.50	15.7	23.1	78.3	49.0	13.9	48.9	52.4	100.50	39.5
SAS	SAS @ MIN	04/07/2022	L	48	115.2	121.0	-5.7	72.1	2.58	21.1	23.4	69.0	48.6	11.4	53.9	58.2	105.00	52.6
LAL	LAL @ GSW	04/07/2022	L	48	105.7	119.6	-14.0	37.8	0.74	10.6	25.0	73.9	48.9	17.9	50.0	56.2	106.50	39.5
DEN	DEN vs. MEM	04/07/2022	W	48	119.6	107.9	11.7	61.4	1.42	19.3	30.6	79.6	58.8	18.6	62.5	67.0	101.50	55.9
NOP	NOP vs. POR	04/07/2022	W	48	135.1	101.1	34.0	70.5	2.58	20.4	52.9	84.8	65.5	12.8	54.3	59.5	93.50	63.4
PHI	PHI @ TOR	04/07/2022	L	48	121.3	126.6	-5.3	70.3	1.53	20.2	22.5	65.3	46.1	18.1	62.0	66.3	94.00	49.6
POR	POR @ NOP	04/07/2022	L	48	101.1	135.1	-34.0	77.8	1.27	22.2	15.2	47.1	34.5	23.7	60.1	62.9	93.50	36.6
CHA	CHA vs. ORL	04/07/2022	W	48	120.8	93.5	27.2	60.4	2.42	19.9	23.4	81.7	56.1	11.3	58.7	61.6	107.00	64.8
MIN	MIN vs. SAS	04/07/2022	W	48	121.0	115.2	5.7	61.0	2.27	16.9	31.0	76.6	51.4	10.5	53.1	57.9	105.00	47.4
GSW	GSW vs. LAL	04/07/2022	W	48	119.6	105.7	14.0	76.5	2.60	24.7	26.1	75.0	51.1	14.0	60.8	63.1	106.50	60.5
TOR	TOR vs. PHI	04/07/2022	W	48	126.6	121.3	5.3	48.9	2.00	16.5	34.7	77.5	53.9	11.7	57.7	60.1	94.00	50.4
BOS	BOS @ MIL	04/07/2022	L	48	117.5	122.1	-4.6	69.8	1.88	21.1	20.0	69.2	46.4	15.5	61.5	63.4	103.50	48.9
ORL	ORL @ CHA	04/07/2022	L	48	93.5	120.8	-27.2	71.1	1.69	18.5	18.3	76.6	43.9	14.8	47.9	50.1	107.00	35.2
MEM	MEM @ DEN	04/07/2022	L	48	107.9	119.6	-11.7	71.4	2.31	21.3	20.4	69.4	41.2	12.9	53.4	56.0	101.50	44.1
MIL	MIL vs. BOS	04/07/2022	W	48	122.1	117.5	4.6	55.1	2.45	18.5	30.8	80.0	53.6	10.6	57.7	59.8	103.50	51.1
LAC	LAC vs. PHX	04/06/2022	W	48	107.6	103.8	3.8	60.6	1.18	14.8	21.7	68.1	49.6	16.2	52.0	59.9	105.00	55.8
WAS	WAS @ ATL	04/06/2022	L	48	104.0	121.6	-17.6	61.9	1.86	19.3	22.7	80.0	53.2	14.1	54.7	56.7	98.00	45.2
OKC	OKC @ UTA	04/06/2022	L	48	107.4	144.2	-36.8	73.0	2.70	20.1	23.6	53.8	36.2	10.6	50.0	51.8	94.50	31.9
CHI	CHI vs. BOS	04/06/2022	L	48	95.9	120.6	-24.7	54.3	1.12	14.7	24.5	70.8	47.4	17.3	48.1	52.2	97.50	37.5
BKN	BKN @ NYK	04/06/2022	W	48	108.9	98.0	10.9	68.3	2.00	19.3	30.2	78.6	55.0	13.9	51.6	54.5	100.50	58.0
ATL	ATL vs. WAS	04/06/2022	W	48	121.6	104.0	17.6	60.5	4.33	19.5	20.0	77.3	46.8	6.2	55.4	58.8	98.00	54.8
DET	DET vs. DAL	04/06/2022	L	48	116.5	135.1	-18.6	74.3	2.36	19.1	26.5	75.6	48.9	11.3	49.4	58.0	97.00	44.7
DAL	DAL @ DET	04/06/2022	W	48	135.1	116.5	18.6	62.2	2.80	20.7	24.4	73.5	51.1	10.3	65.6	69.0	97.00	55.3
PHX	PHX @ LAC	04/06/2022	L	48	103.8	107.6	-3.8	69.0	2.42	18.6	31.9	78.3	50.4	11.4	46.8	48.1	105.00	44.2
UTA	UTA vs. OKC	04/06/2022	W	48	144.2	107.4	36.8	59.2	2.23	20.4	46.2	76.4	63.8	13.7	67.3	69.8	94.50	68.1
BOS	BOS @ CHI	04/06/2022	W	48	120.6	95.9	24.7	67.4	2.23	20.7	29.2	75.5	52.6	13.4	58.5	59.9	97.50	62.5
NYK	NYK vs. BKN	04/06/2022	L	48	98.0	108.9	-10.9	68.8	2.00	16.4	21.4	69.8	45.0	11.0	46.4	49.6	100.50	42.0
CHI	CHI vs. MIL	04/05/2022	L	48	105.0	123.3	-18.4	52.4	1.47	15.8	28.6	71.4	46.9	14.9	47.4	51.1	102.00	36.8
CLE	CLE @ ORL	04/05/2022	L	48	116.2	121.2	-5.1	59.5	2.08	18.7	20.8	79.6	50.5	12.1	58.1	60.1	99.00	48.0
ATL	ATL @ TOR	04/05/2022	L	48	111.3	120.4	-9.1	72.1	4.43	22.3	20.4	59.0	40.9	7.2	53.2	54.4	97.50	48.2
HOU	HOU @ BKN	04/05/2022	L	48	102.9	115.7	-12.7	45.0	1.64	12.9	31.7	70.2	48.2	10.8	46.0	47.7	102.00	40.1
OKC	OKC vs. POR	04/05/2022	W	48	101.0	96.9	4.1	38.5	0.88	11.9	29.8	73.5	52.1	17.5	53.7	54.0	97.00	53.7
LAL	LAL @ PHX	04/05/2022	L	48	100.9	110.0	-9.1	56.4	1.38	15.8	16.0	77.8	48.1	14.7	50.6	55.4	109.50	43.5
MEM	MEM @ UTA	04/05/2022	L	53	99.1	104.3	-5.2	66.7	2.00	16.9	20.3	69.8	44.9	11.2	45.0	50.5	105.06	48.0
CHA	CHA @ MIA	04/05/2022	L	48	113.9	142.6	-28.7	75.6	2.27	23.6	20.9	68.4	43.2	14.9	60.0	61.9	101.00	42.4
POR	POR @ OKC	04/05/2022	L	48	96.9	101.0	-4.1	68.6	1.41	18.0	26.5	70.2	47.9	17.5	48.8	52.2	97.00	46.3
NOP	NOP @ SAC	04/05/2022	W	48	124.2	111.2	13.0	57.8	2.00	18.7	32.6	89.5	58.3	13.1	58.0	61.8	98.50	54.1
IND	IND vs. PHI	04/05/2022	L	48	117.3	127.2	-9.9	64.4	1.81	19.2	36.0	77.3	55.3	15.4	53.7	58.5	103.50	47.0
SAC	SAC vs. NOP	04/05/2022	L	48	111.2	124.2	-13.0	71.8	1.87	21.7	10.5	67.4	41.7	15.3	58.6	63.6	98.50	45.9
SAS	SAS @ DEN	04/05/2022	W	48	113.7	94.2	19.6	70.5	2.82	21.8	18.0	76.3	49.5	10.8	56.2	58.3	102.50	60.7
ORL	ORL vs. CLE	04/05/2022	W	48	121.2	116.2	5.1	66.0	4.43	22.1	20.4	79.2	49.5	7.1	59.1	60.2	99.00	52.0
TOR	TOR vs. ATL	04/05/2022	W	48	120.4	111.3	9.1	45.5	2.50	14.0	41.0	79.6	59.1	8.2	48.0	51.5	97.50	51.8
MIA	MIA vs. CHA	04/05/2022	W	48	142.6	113.9	28.7	60.4	1.93	20.4	31.6	79.1	56.8	14.9	70.8	74.4	101.00	57.6
MIN	MIN vs. WAS	04/05/2022	L	48	108.6	124.5	-16.0	65.9	2.70	19.4	15.1	75.0	43.6	9.5	52.7	55.9	105.50	42.4
WAS	WAS @ MIN	04/05/2022	W	48	124.5	108.6	16.0	67.9	3.80	24.4	25.0	84.9	56.4	9.4	61.9	61.6	105.50	57.6
PHX	PHX vs. LAL	04/05/2022	W	48	110.0	100.9	9.1	76.0	2.71	23.8	22.2	84.0	51.9	12.7	55.9	57.1	109.50	56.5
PHI	PHI @ IND	04/05/2022	W	48	127.2	117.3	9.9	72.3	2.13	23.1	22.7	64.0	44.7	15.5	67.2	69.0	103.50	53.0
BKN	BKN vs. HOU	04/05/2022	W	48	115.7	102.9	12.7	56.4	1.29	15.9	29.8	68.3	51.8	16.7	54.1	60.3	102.00	59.9
MIL	MIL @ CHI	04/05/2022	W	48	123.3	105.0	18.4	69.6	2.29	21.8	28.6	71.4	53.1	13.6	59.8	64.8	102.00	63.2
UTA	UTA vs. MEM	04/05/2022	W	53	104.3	99.1	5.2	57.5	1.35	14.6	30.2	79.7	55.1	14.7	47.9	52.6	105.06	52.0
DEN	DEN vs. SAS	04/05/2022	L	48	94.2	113.7	-19.6	53.7	2.00	15.8	23.7	82.0	50.5	10.7	45.4	47.0	102.50	39.3
PHX	PHX @ OKC	04/03/2022	L	48	95.0	115.8	-20.8	59.5	2.00	16.8	15.1	71.1	40.8	10.9	45.5	49.8	101.00	40.0
OKC	OKC vs. PHX	04/03/2022	W	48	115.8	95.0	20.8	76.7	1.83	22.4	28.9	84.9	59.2	17.8	59.2	61.6	101.00	60.0
DET	DET @ IND	04/03/2022	W	48	119.8	114.7	5.1	72.1	2.58	20.7	30.5	58.5	43.8	11.9	54.0	56.6	101.50	47.6
LAL	LAL vs. DEN	04/03/2022	L	48	115.7	126.5	-10.8	63.3	2.38	21.4	26.7	85.0	54.1	12.7	56.5	58.3	102.00	43.0
MIL	MIL vs. DAL	04/03/2022	L	48	116.7	121.6	-5.0	59.5	2.78	18.4	29.1	84.2	51.6	9.4	52.1	54.4	96.50	43.0
SAS	SAS vs. POR	04/03/2022	W	48	115.3	96.8	18.5	65.8	1.92	17.9	34.0	79.2	57.3	13.3	53.6	58.1	96.50	62.2
CLE	CLE vs. PHI	04/03/2022	L	48	109.1	113.1	-4.0	68.6	2.00	18.3	17.4	70.0	44.8	12.1	54.5	58.9	99.00	46.6
WAS	WAS @ BOS	04/03/2022	L	48	106.3	150.0	-43.8	55.3	1.75	16.7	20.5	75.0	45.0	12.5	51.2	56.2	96.00	34.6
GSW	GSW @ SAC	04/03/2022	W	48	113.5	94.7	18.8	70.7	1.71	21.6	25.0	82.7	57.6	17.7	62.0	63.7	95.50	61.9
SAC	SAC vs. GSW	04/03/2022	L	48	94.7	113.5	-18.8	61.3	1.46	15.4	17.3	75.0	42.4	13.7	42.6	49.1	95.50	38.1
BOS	BOS vs. WAS	04/03/2022	W	48	150.0	106.3	43.8	69.6	4.88	27.1	25.0	79.5	55.0	8.3	74.2	74.4	96.00	65.4
NOP	NOP @ LAC	04/03/2022	L	48	106.4	126.6	-20.2	62.9	1.38	15.7	42.1	68.6	54.6	17.0	45.4	50.6	94.00	42.5
DEN	DEN @ LAL	04/03/2022	W	48	126.5	115.7	10.8	70.2	2.75	23.4	15.0	73.3	45.9	11.8	64.6	68.1	102.00	57.0
MIA	MIA @ TOR	04/03/2022	W	48	117.5	112.4	5.2	73.2	1.76	21.7	26.8	62.7	46.7	17.5	63.3	64.3	97.00	56.3
POR	POR @ SAS	04/03/2022	L	48	96.8	115.3	-18.5	66.7	1.57	17.2	20.8	66.0	42.7	14.7	48.8	50.8	96.50	37.8
LAC	LAC vs. NOP	04/03/2022	W	48	126.6	106.4	20.2	73.3	3.30	23.1	31.4	57.9	45.4	10.6	58.4	59.9	94.00	57.5
DAL	DAL @ MIL	04/03/2022	W	48	121.6	116.7	5.0	71.8	2.00	21.4	15.8	70.9	48.4	14.4	61.8	67.1	96.50	57.0
HOU	HOU vs. MIN	04/03/2022	L	48	122.2	128.7	-6.5	58.3	1.17	18.8	30.2	79.5	53.7	22.2	65.9	67.5	108.00	45.1
IND	IND vs. DET	04/03/2022	L	48	114.7	119.8	-5.1	73.3	1.74	21.2	41.5	69.5	56.3	18.6	54.3	57.2	101.50	52.4
ORL	ORL vs. NYK	04/03/2022	L	48	90.7	122.9	-32.2	60.0	1.64	14.3	21.3	72.0	44.1	11.3	42.4	45.4	96.50	31.9
TOR	TOR vs. MIA	04/03/2022	L	48	112.4	117.5	-5.2	54.3	1.12	14.1	37.3	73.2	53.3	17.5	49.4	55.6	97.00	43.7
MIN	MIN @ HOU	04/03/2022	W	48	128.7	122.2	6.5	62.7	1.68	21.8	20.5	69.8	46.3	17.6	69.2	71.6	108.00	54.9
NYK	NYK @ ORL	04/03/2022	W	48	122.9	90.7	32.2	64.4	2.90	21.0	28.0	78.7	55.9	10.4	56.5	59.0	96.50	68.1
PHI	PHI @ CLE	04/03/2022	W	48	113.1	109.1	4.0	69.7	1.64	17.0	30.0	82.6	55.2	14.1	48.1	56.9	99.00	53.4
CLE	CLE @ NYK	04/02/2022	W	48	126.6	106.3	20.3	59.1	2.17	20.2	23.7	75.5	52.9	12.8	63.6	65.9	94.50	60.0
BKN	BKN @ ATL	04/02/2022	L	48	108.5	116.2	-7.7	40.5	1.31	12.3	25.4	78.6	51.3	12.3	51.0	53.6	105.50	41.7
GSW	GSW vs. UTA	04/02/2022	W	48	118.1	115.1	3.0	75.0	2.73	22.6	20.0	64.8	44.4	11.7	59.5	62.2	93.50	55.1
ATL	ATL vs. BKN	04/02/2022	W	48	116.2	108.5	7.7	50.0	2.57	13.3	21.4	74.6	48.7	6.7	49.4	56.7	105.50	58.3
CHA	CHA @ PHI	04/02/2022	L	48	109.6	137.1	-27.5	81.0	2.00	22.8	22.9	67.6	42.4	16.3	54.6	58.4	104.50	39.6
UTA	UTA @ GSW	04/02/2022	L	48	115.1	118.1	-3.0	50.0	1.46	14.5	35.2	80.0	55.6	14.0	51.1	54.2	93.50	44.9
PHI	PHI vs. CHA	04/02/2022	W	48	137.1	109.6	27.5	71.7	2.00	24.5	32.4	77.1	57.6	18.1	73.0	74.8	104.50	60.4
MIA	MIA @ CHI	04/02/2022	W	48	135.1	117.2	17.9	63.6	3.11	21.2	25.0	74.0	52.2	9.6	64.0	67.6	93.50	57.2
CHI	CHI vs. MIA	04/02/2022	L	48	117.2	135.1	-17.9	56.8	3.50	16.5	26.0	75.0	47.8	6.5	48.3	55.2	93.50	42.8
NYK	NYK vs. CLE	04/02/2022	L	48	106.3	126.6	-20.3	61.3	1.73	15.1	24.5	76.3	47.1	11.6	48.7	54.9	94.50	40.0
LAL	LAL vs. NOP	04/01/2022	L	48	105.7	111.8	-6.1	61.5	1.41	17.1	23.4	87.5	52.9	16.2	54.3	58.0	103.50	46.1
DAL	DAL @ WAS	04/01/2022	L	48	105.1	137.8	-32.7	41.2	1.08	11.7	17.4	76.2	45.5	13.3	50.6	57.6	98.00	35.2
MIL	MIL vs. LAC	04/01/2022	L	48	119.0	154.5	-35.5	60.0	2.00	20.4	36.7	65.0	49.4	15.0	57.4	58.4	99.50	39.0
HOU	HOU vs. SAC	04/01/2022	L	48	114.7	120.8	-6.1	63.4	2.36	17.6	32.8	79.1	51.9	10.8	51.0	53.9	101.50	42.4
PHX	PHX @ MEM	04/01/2022	L	48	108.6	116.2	-7.6	57.4	1.35	19.4	19.5	65.0	46.5	19.0	60.5	61.0	105.00	47.1
POR	POR @ SAS	04/01/2022	L	48	112.1	131.3	-19.2	65.9	2.25	19.1	30.2	78.0	51.1	12.1	52.7	55.1	99.00	40.5
LAC	LAC @ MIL	04/01/2022	W	48	154.5	119.0	35.5	60.7	3.40	23.1	35.0	63.3	50.6	10.1	73.4	74.6	99.50	61.0
DET	DET @ OKC	04/01/2022	W	48	108.9	102.0	6.9	72.5	3.63	20.7	20.0	69.8	44.4	7.9	50.5	54.0	100.00	55.2
DEN	DEN vs. MIN	04/01/2022	L	48	125.0	129.5	-4.5	78.3	2.00	23.5	31.0	76.1	54.5	17.3	60.5	65.8	104.50	50.2
IND	IND @ BOS	04/01/2022	L	48	124.2	128.0	-3.8	59.5	1.56	18.7	25.0	64.1	44.3	16.2	62.3	67.5	99.50	44.0
WAS	WAS vs. DAL	04/01/2022	W	48	137.8	105.1	32.7	67.3	3.67	23.4	23.8	82.6	54.5	9.2	63.9	67.7	98.00	64.8
MEM	MEM vs. PHX	04/01/2022	W	48	116.2	108.6	7.6	65.2	2.73	19.2	35.0	80.5	53.5	10.5	48.5	53.4	105.00	52.9
TOR	TOR @ ORL	04/01/2022	W	48	106.3	92.7	13.5	58.3	2.10	16.5	21.6	75.6	46.9	10.4	49.4	53.8	96.00	54.8
MIN	MIN @ DEN	04/01/2022	W	48	129.5	125.0	4.5	60.5	2.17	18.3	23.9	69.0	45.5	11.4	61.0	66.8	104.50	49.8
NOP	NOP @ LAL	04/01/2022	W	48	111.8	105.7	6.1	56.1	1.53	17.7	12.5	76.6	47.1	14.7	56.3	62.1	103.50	53.9
SAS	SAS vs. POR	04/01/2022	W	48	131.3	112.1	19.2	73.9	2.27	23.9	22.0	69.8	48.9	15.2	66.7	69.7	99.00	59.5
ORL	ORL vs. TOR	04/01/2022	L	48	92.7	106.3	-13.5	70.6	1.09	18.3	24.4	78.4	53.1	22.9	50.0	53.1	96.00	45.2
BOS	BOS vs. IND	04/01/2022	W	48	128.0	124.2	3.8	64.4	1.81	20.3	35.9	75.0	55.7	16.0	61.4	67.1	99.50	56.0
SAC	SAC @ HOU	04/01/2022	W	48	120.8	114.7	6.1	69.0	2.23	20.9	20.9	67.2	48.1	12.9	59.3	63.6	101.50	57.6
OKC	OKC vs. DET	04/01/2022	L	48	102.0	108.9	-6.9	66.7	1.41	17.3	30.2	80.0	55.6	17.2	49.4	52.2	100.00	44.8
UTA	UTA vs. LAL	03/31/2022	W	48	127.1	114.7	12.3	54.3	3.13	18.4	32.7	75.0	52.7	8.3	59.4	60.7	95.50	55.9
DET	DET vs. PHI	03/31/2022	W	48	110.9	103.3	7.6	63.4	2.60	20.3	22.2	87.2	52.4	10.9	56.1	57.6	91.50	51.8
CHI	CHI vs. LAC	03/31/2022	W	53	125.0	118.2	6.8	48.0	3.00	16.2	30.9	84.4	55.0	7.4	53.9	58.1	98.72	51.1
MIL	MIL @ BKN	03/31/2022	W	53	105.3	105.3	0.0	42.5	0.74	11.6	30.2	87.0	58.9	20.2	51.7	57.7	102.79	50.9
BKN	BKN vs. MIL	03/31/2022	L	53	105.3	105.3	0.0	68.9	1.94	20.5	13.0	69.8	41.1	14.2	55.7	57.2	102.79	49.1
PHI	PHI @ DET	03/31/2022	L	48	103.3	110.9	-7.6	71.0	1.47	18.6	12.8	77.8	47.6	16.5	50.0	57.8	91.50	48.2
LAC	LAC @ CHI	03/31/2022	L	53	118.2	125.0	-6.8	57.8	2.17	18.3	15.6	69.1	45.0	10.9	58.9	64.1	98.72	48.9
CLE	CLE @ ATL	03/31/2022	L	48	105.9	131.0	-25.1	48.7	1.36	13.9	31.5	70.2	49.5	13.9	47.2	52.3	100.50	39.3
LAL	LAL @ UTA	03/31/2022	L	48	114.7	127.1	-12.3	43.9	1.64	14.5	25.0	67.3	47.3	11.6	53.6	57.2	95.50	44.1
ATL	ATL vs. CLE	03/31/2022	W	48	131.0	105.9	25.1	60.0	3.00	19.1	29.8	68.5	50.5	9.0	58.8	63.4	100.50	60.7
NYK	NYK vs. CHA	03/30/2022	L	48	114.0	126.3	-12.3	57.5	1.64	16.9	27.7	76.2	50.6	14.0	56.5	59.1	99.50	42.0
HOU	HOU vs. SAC	03/30/2022	L	48	112.4	116.3	-4.0	53.5	1.28	15.9	35.7	72.7	54.1	17.1	52.7	56.2	104.50	46.1
MEM	MEM @ SAS	03/30/2022	W	48	117.9	115.6	2.3	59.1	1.86	19.1	31.3	74.4	51.6	14.7	57.1	58.4	95.50	49.2
PHX	PHX @ GSW	03/30/2022	W	48	101.9	98.1	3.8	52.6	1.43	14.1	30.4	74.5	51.4	13.3	45.1	50.9	105.00	50.2
ATL	ATL @ OKC	03/30/2022	W	48	127.1	111.3	15.8	57.1	2.15	19.7	20.5	78.0	51.1	12.1	63.7	67.5	106.50	57.6
IND	IND vs. DEN	03/30/2022	L	48	122.9	130.2	-7.3	65.9	3.63	19.9	37.5	63.3	46.5	8.3	51.5	55.1	96.00	43.0
DAL	DAL @ CLE	03/30/2022	W	48	126.3	117.9	8.4	60.9	2.33	20.9	27.9	65.9	47.1	12.6	61.4	63.4	95.00	53.1
ORL	ORL @ WAS	03/30/2022	L	48	106.8	123.3	-16.5	52.5	1.75	15.0	27.6	68.1	45.7	11.7	47.4	52.0	103.00	37.8
TOR	TOR vs. MIN	03/30/2022	W	48	117.9	96.2	21.7	66.7	1.68	20.8	31.4	64.9	49.1	17.9	59.4	60.9	106.00	58.8
MIN	MIN @ TOR	03/30/2022	L	48	96.2	117.9	-21.7	70.3	1.18	17.1	35.1	68.6	50.9	20.8	46.2	49.9	106.00	41.2
GSW	GSW vs. PHX	03/30/2022	L	48	98.1	101.9	-3.8	74.3	1.24	18.1	25.5	69.6	48.6	20.0	50.0	54.8	105.00	49.8
OKC	OKC vs. ATL	03/30/2022	L	48	111.3	127.1	-15.8	75.6	1.72	20.9	22.0	79.5	48.9	17.0	56.9	59.7	106.50	42.4
DEN	DEN @ IND	03/30/2022	W	48	130.2	122.9	7.3	66.0	1.65	23.6	36.7	62.5	53.5	20.8	70.0	72.5	96.00	57.0
SAC	SAC @ HOU	03/30/2022	W	48	116.3	112.4	4.0	47.7	2.33	15.1	27.3	64.3	45.9	8.7	50.0	54.6	104.50	53.9
NOP	NOP @ POR	03/30/2022	W	48	118.2	108.1	10.1	65.0	1.86	19.0	29.3	63.0	47.1	14.1	55.1	61.5	99.00	59.3
CLE	CLE vs. DAL	03/30/2022	L	48	117.9	126.3	-8.4	57.1	1.60	18.0	34.1	72.1	52.9	15.8	57.2	60.4	95.00	46.9
CHA	CHA @ NYK	03/30/2022	W	48	126.3	114.0	12.3	79.6	3.25	26.5	23.8	72.3	49.4	12.1	61.1	64.1	99.50	58.0
SAS	SAS vs. MEM	03/30/2022	L	48	115.6	117.9	-2.3	61.9	1.73	19.8	25.6	68.8	48.4	15.6	59.0	61.6	95.50	50.8
POR	POR vs. NOP	03/30/2022	L	48	108.1	118.2	-10.1	76.9	1.36	20.7	37.0	70.7	52.9	22.2	54.1	57.6	99.00	40.7
MIA	MIA @ BOS	03/30/2022	W	48	103.9	96.1	7.8	71.1	1.50	19.7	17.0	79.2	50.0	17.6	56.3	58.9	102.00	54.8
WAS	WAS vs. ORL	03/30/2022	W	48	123.3	106.8	16.5	74.5	2.92	22.9	31.9	72.4	54.3	11.7	58.2	61.4	103.00	62.2
BOS	BOS vs. MIA	03/30/2022	L	48	96.1	103.9	-7.8	77.1	1.50	19.3	20.8	83.0	50.0	17.6	47.6	51.5	102.00	45.2
MIL	MIL @ PHI	03/29/2022	W	48	121.6	118.4	3.3	59.1	2.36	19.3	24.5	79.6	52.0	11.3	58.0	60.1	97.50	50.8
LAC	LAC vs. UTA	03/29/2022	W	48	127.4	121.1	6.3	51.2	1.91	16.3	30.2	68.3	48.8	11.6	58.4	63.5	95.00	51.9
WAS	WAS vs. CHI	03/29/2022	L	48	101.1	116.3	-15.2	65.8	1.79	19.4	25.0	76.7	50.6	15.1	51.9	54.3	92.50	44.2
DET	DET @ BKN	03/29/2022	L	48	120.6	126.2	-5.6	58.3	2.00	19.2	30.8	71.4	47.1	13.7	56.6	58.7	102.50	44.6
DAL	DAL vs. LAL	03/29/2022	W	48	134.7	114.6	20.2	60.0	3.38	20.3	24.4	71.2	49.5	8.4	63.2	65.9	95.50	58.1
PHI	PHI vs. MIL	03/29/2022	L	48	118.4	121.6	-3.3	65.1	3.11	20.6	20.4	75.5	48.0	9.2	57.3	59.8	97.50	49.2
BKN	BKN vs. DET	03/29/2022	W	48	126.2	120.6	5.6	57.1	1.26	17.5	28.6	69.2	52.9	18.4	65.1	71.5	102.50	55.4
UTA	UTA @ LAC	03/29/2022	L	48	121.1	127.4	-6.3	53.5	1.53	17.6	31.7	69.8	51.2	15.8	62.8	63.4	95.00	48.1
LAL	LAL @ DAL	03/29/2022	L	48	114.6	134.7	-20.2	50.0	2.22	15.4	28.8	75.6	50.5	9.4	51.7	55.7	95.50	41.9
CHI	CHI @ WAS	03/29/2022	W	48	116.3	101.1	15.2	60.5	2.89	20.3	23.3	75.0	49.4	9.8	54.1	57.6	92.50	55.8
MIA	MIA vs. SAC	03/28/2022	W	48	128.1	104.2	24.0	61.2	1.88	21.4	34.1	83.0	60.2	16.7	65.0	66.4	96.00	60.2
BOS	BOS @ TOR	03/28/2022	L	53	106.7	108.5	-1.8	59.0	1.35	15.5	33.9	68.3	51.6	16.2	47.4	52.2	95.55	53.0
CLE	CLE vs. ORL	03/28/2022	W	48	105.9	101.0	4.9	70.3	1.73	19.3	20.8	76.6	48.4	14.9	52.4	57.5	100.50	55.0
POR	POR vs. OKC	03/28/2022	L	53	120.2	126.4	-6.2	54.9	2.55	17.6	38.1	66.0	50.0	10.1	54.5	55.6	97.36	46.8
