TEAM	MATCH_UP	GAME_DATE	W_L	MIN	PTS	FGM	FGA	FG	3PM	3PA	3P	FTM	FTA	FT	OREB	DREB	REB	AST	TOV	STL	BLK	PF	+/-
OKC	OKC vs. PHI	10/24/2021	L	48	103	40	84	47.6	8	31	25.8	15	19	78.9	6	36	42	24	11	9	4	17	-12
CHA	CHA @ BKN	10/24/2021	W	48	111	43	94	45.7	10	30	33.3	15	19	78.9	10	38	48	26	12	10	5	17	16
HOU	HOU vs. BOS	10/24/2021	L	48	97	32	75	42.7	14	32	43.8	19	24	79.2	5	35	40	20	20	7	4	20	-10
SAC	SAC vs. GSW	10/24/2021	L	48	107	42	86	48.8	15	46	32.6	8	13	61.5	10	37	47	26	19	0	4	16	-12
LAL	LAL vs. MEM	10/24/2021	W	48	121	45	84	53.6	16	30	53.3	15	22	68.2	9	27	36	29	17	10	12	14	3
NYK	NYK vs. ORL	10/24/2021	L	48	104	37	100	37.0	13	48	27.1	17	25	68.0	16	36	52	20	12	8	8	21	-6
GSW	GSW @ SAC	10/24/2021	W	48	119	43	97	44.3	13	37	35.1	20	24	83.3	14	29	43	26	7	12	3	13	12
PHI	PHI @ OKC	10/24/2021	W	48	115	41	88	46.6	17	41	41.5	16	20	80.0	12	35	47	25	12	4	9	17	12
MIA	MIA @ IND	10/23/2021	L	53	91	35	91	38.5	9	33	27.3	12	14	85.7	10	45	55	18	22	4	2	25	-11
POR	POR vs. PHX	10/23/2021	W	48	134	51	94	54.3	21	50	42.0	11	17	64.7	8	40	48	24	9	8	5	15	29
MIL	MIL @ SAS	10/23/2021	W	48	121	44	83	53.0	15	35	42.9	18	22	81.8	7	37	44	21	22	6	5	15	10
DET	DET @ CHI	10/23/2021	L	48	82	34	88	38.6	5	28	17.9	9	15	60.0	11	42	53	14	23	9	8	17	-15
TOR	TOR vs. DAL	10/23/2021	L	48	95	34	85	40.0	11	37	29.7	16	23	69.6	11	38	49	17	12	7	6	23	-8
MEM	MEM @ LAC	10/23/2021	W	48	120	42	90	46.7	15	36	41.7	21	25	84.0	13	35	48	26	11	5	3	19	6
SAS	SAS vs. MIL	10/23/2021	L	48	111	48	99	48.5	10	39	25.6	5	6	83.3	10	28	38	29	13	10	4	18	-10
IND	IND vs. MIA	10/23/2021	W	53	102	38	97	39.2	10	39	25.6	16	21	76.2	14	41	55	18	16	10	5	18	11
LAC	LAC vs. MEM	10/23/2021	L	48	114	43	99	43.4	13	39	33.3	15	17	88.2	14	30	44	23	7	7	4	21	-6
MIN	MIN vs. NOP	10/23/2021	W	48	96	39	96	40.6	12	38	31.6	6	10	60.0	13	34	47	22	20	13	8	25	7
CHI	CHI vs. DET	10/23/2021	W	48	97	35	84	41.7	11	26	42.3	16	19	84.2	3	39	42	24	13	13	11	17	15
PHX	PHX @ POR	10/23/2021	L	48	105	43	89	48.3	9	28	32.1	10	15	66.7	7	31	38	27	14	6	1	19	-29
ATL	ATL @ CLE	10/23/2021	L	48	95	38	99	38.4	10	34	29.4	9	15	60.0	17	37	54	20	9	5	3	23	-6
CLE	CLE vs. ATL	10/23/2021	W	48	101	37	89	41.6	7	28	25.0	20	27	74.1	12	42	54	23	10	6	6	16	6
DAL	DAL @ TOR	10/23/2021	W	48	103	38	91	41.8	14	42	33.3	13	18	72.2	13	37	50	24	9	6	6	22	8
NOP	NOP @ MIN	10/23/2021	L	48	89	31	89	34.8	9	40	22.5	18	23	78.3	21	40	61	15	30	10	5	22	-7
OKC	OKC @ HOU	10/22/2021	L	48	91	34	91	37.4	14	43	32.6	9	16	56.3	8	31	39	22	19	9	4	21	-33
WAS	WAS vs. IND	10/22/2021	W	53	135	49	94	52.1	19	38	50.0	18	19	94.7	6	32	38	24	9	5	6	21	1
HOU	HOU vs. OKC	10/22/2021	W	48	124	48	95	50.5	17	38	44.7	11	14	78.6	10	44	54	29	17	12	10	18	33
BKN	BKN @ PHI	10/22/2021	W	48	114	41	88	46.6	12	38	31.6	20	24	83.3	11	36	47	26	13	6	6	16	5
ORL	ORL vs. NYK	10/22/2021	L	48	96	33	83	39.8	17	43	39.5	13	15	86.7	9	37	46	24	19	5	3	18	-25
SAC	SAC vs. UTA	10/22/2021	L	48	101	39	99	39.4	8	36	22.2	15	21	71.4	16	36	52	20	15	15	5	22	-9
LAL	LAL vs. PHX	10/22/2021	L	48	105	34	86	39.5	15	34	44.1	22	29	75.9	12	34	46	25	16	7	3	26	-10
PHX	PHX @ LAL	10/22/2021	W	48	115	42	86	48.8	10	32	31.3	21	28	75.0	7	40	47	31	12	8	2	22	10
CHI	CHI vs. NOP	10/22/2021	W	48	128	47	89	52.8	14	28	50.0	20	25	80.0	11	35	46	32	14	9	7	14	16
CLE	CLE vs. CHA	10/22/2021	L	48	112	43	84	51.2	9	31	29.0	17	20	85.0	7	29	36	26	19	9	3	15	-11
PHI	PHI vs. BKN	10/22/2021	L	48	109	43	91	47.3	14	36	38.9	9	11	81.8	5	30	35	17	10	8	9	21	-5
SAS	SAS @ DEN	10/22/2021	L	48	96	40	84	47.6	6	24	25.0	10	14	71.4	7	32	39	24	20	11	2	17	-6
IND	IND @ WAS	10/22/2021	L	53	134	52	97	53.6	15	34	44.1	15	20	75.0	7	35	42	28	12	5	6	22	-1
DEN	DEN vs. SAS	10/22/2021	W	48	102	44	86	51.2	9	30	30.0	5	8	62.5	8	33	41	26	21	10	2	21	6
NYK	NYK @ ORL	10/22/2021	W	48	121	44	88	50.0	24	54	44.4	9	17	52.9	6	32	38	34	11	10	4	19	25
BOS	BOS vs. TOR	10/22/2021	L	48	83	32	82	39.0	11	34	32.4	8	11	72.7	10	32	42	19	25	6	12	19	-32
NOP	NOP @ CHI	10/22/2021	L	48	112	42	87	48.3	15	29	51.7	13	16	81.3	9	33	42	26	17	7	5	20	-16
CHA	CHA @ CLE	10/22/2021	W	48	123	48	91	52.7	13	32	40.6	14	17	82.4	11	35	46	32	18	13	1	16	11
UTA	UTA @ SAC	10/22/2021	W	48	110	37	90	41.1	16	42	38.1	20	23	87.0	13	38	51	16	19	14	3	17	9
TOR	TOR @ BOS	10/22/2021	W	48	115	42	100	42.0	10	35	28.6	21	21	100	21	39	60	22	12	16	2	13	32
ATL	ATL vs. DAL	10/21/2021	W	48	113	45	94	47.9	15	35	42.9	8	9	88.9	6	49	55	31	13	8	9	16	26
DAL	DAL @ ATL	10/21/2021	L	48	87	31	93	33.3	13	43	30.2	12	13	92.3	10	40	50	16	15	7	3	21	-26
LAC	LAC @ GSW	10/21/2021	L	48	113	42	96	43.8	14	40	35.0	15	21	71.4	8	31	39	24	7	9	2	25	-2
MIL	MIL @ MIA	10/21/2021	L	48	95	32	84	38.1	12	42	28.6	19	29	65.5	5	33	38	19	15	6	0	26	-42
MIA	MIA vs. MIL	10/21/2021	W	48	137	51	96	53.1	15	35	42.9	20	31	64.5	11	47	58	28	11	8	2	26	42
GSW	GSW vs. LAC	10/21/2021	W	48	115	43	83	51.8	15	31	48.4	14	22	63.6	10	43	53	27	21	5	4	20	2
BOS	BOS @ NYK	10/20/2021	L	58	134	48	117	41.0	21	57	36.8	17	23	73.9	15	41	56	34	18	13	9	24	-4
SAC	SAC @ POR	10/20/2021	W	48	124	42	92	45.7	17	41	41.5	23	29	79.3	7	36	43	24	10	6	4	22	3
NOP	NOP vs. PHI	10/20/2021	L	48	97	39	93	41.9	13	30	43.3	6	9	66.7	10	34	44	28	14	5	6	16	-20
TOR	TOR vs. WAS	10/20/2021	L	48	83	30	97	30.9	7	34	20.6	16	22	72.7	19	35	54	14	19	10	4	21	-15
DEN	DEN @ PHX	10/20/2021	W	48	110	44	83	53.0	17	39	43.6	5	9	55.6	6	40	46	25	19	9	1	20	12
HOU	HOU @ MIN	10/20/2021	L	48	106	40	88	45.5	11	33	33.3	15	22	68.2	12	29	41	21	24	13	3	25	-18
PHX	PHX vs. DEN	10/20/2021	L	48	98	36	87	41.4	14	37	37.8	12	17	70.6	11	34	45	23	18	9	3	18	-12
POR	POR vs. SAC	10/20/2021	L	48	121	45	93	48.4	12	35	34.3	19	22	86.4	9	40	49	25	13	5	5	22	-3
CLE	CLE @ MEM	10/20/2021	L	48	121	47	93	50.5	14	38	36.8	13	18	72.2	7	29	36	38	11	6	5	17	-11
MIN	MIN vs. HOU	10/20/2021	W	48	124	42	87	48.3	16	38	42.1	24	31	77.4	13	33	46	26	18	18	12	22	18
ORL	ORL @ SAS	10/20/2021	L	48	97	35	86	40.7	9	29	31.0	18	23	78.3	13	31	44	17	16	6	6	20	-26
PHI	PHI @ NOP	10/20/2021	W	48	117	44	85	51.8	13	25	52.0	16	20	80.0	6	41	47	24	13	9	5	11	20
UTA	UTA vs. OKC	10/20/2021	W	48	107	40	91	44.0	14	47	29.8	13	15	86.7	12	41	53	18	10	6	5	19	21
CHI	CHI @ DET	10/20/2021	W	48	94	37	86	43.0	7	23	30.4	13	15	86.7	9	39	48	18	17	8	5	19	6
IND	IND @ CHA	10/20/2021	L	48	122	42	90	46.7	17	47	36.2	21	24	87.5	8	43	51	29	17	2	10	24	-1
WAS	WAS @ TOR	10/20/2021	W	48	98	36	81	44.4	5	27	18.5	21	26	80.8	7	44	51	20	22	14	8	17	15
DET	DET vs. CHI	10/20/2021	L	48	88	36	90	40.0	6	28	21.4	10	13	76.9	11	36	47	17	17	7	5	16	-6
MEM	MEM vs. CLE	10/20/2021	W	48	132	53	100	53.0	14	33	42.4	12	12	100	13	40	53	28	12	8	8	15	11
OKC	OKC @ UTA	10/20/2021	L	48	86	34	91	37.4	7	35	20.0	11	18	61.1	15	35	50	19	15	4	2	15	-21
SAS	SAS vs. ORL	10/20/2021	W	48	123	49	98	50.0	13	30	43.3	12	18	66.7	13	30	43	32	8	8	3	22	26
CHA	CHA vs. IND	10/20/2021	W	48	123	46	107	43.0	13	31	41.9	18	27	66.7	12	34	46	29	8	9	5	21	1
NYK	NYK vs. BOS	10/20/2021	W	58	138	51	105	48.6	17	45	37.8	19	27	70.4	7	48	55	27	19	9	10	22	4
MIL	MIL vs. BKN	10/19/2021	W	48	127	48	105	45.7	17	45	37.8	14	18	77.8	13	41	54	25	8	8	9	19	23
LAL	LAL vs. GSW	10/19/2021	L	48	114	45	95	47.4	15	42	35.7	9	19	47.4	5	40	45	21	18	7	4	25	-7
GSW	GSW @ LAL	10/19/2021	W	48	121	41	93	44.1	14	39	35.9	25	30	83.3	9	41	50	30	17	9	2	18	7
BKN	BKN @ MIL	10/19/2021	L	48	104	37	84	44.0	17	32	53.1	13	23	56.5	5	39	44	19	13	3	9	17	-23
CHI	CHI @ MIN	04/10/2022	W	48	124	44	83	53.0	10	21	47.6	26	33	78.8	16	32	48	22	23	9	3	22	4
CHA	CHA vs. WAS	04/10/2022	W	48	124	48	89	53.9	18	33	54.5	10	14	71.4	11	37	48	34	20	6	9	20	16
NYK	NYK vs. TOR	04/10/2022	W	48	105	40	87	46.0	15	43	34.9	10	12	83.3	10	38	48	32	17	6	5	17	11
SAS	SAS @ DAL	04/10/2022	L	48	120	43	89	48.3	11	31	35.5	23	23	100	7	28	35	26	8	15	3	17	-10
HOU	HOU vs. ATL	04/10/2022	L	48	114	41	89	46.1	17	46	37.0	15	20	75.0	6	28	34	24	8	4	4	19	-16
NOP	NOP vs. GSW	04/10/2022	L	48	107	42	99	42.4	14	40	35.0	9	12	75.0	18	24	42	24	12	10	0	17	-21
ATL	ATL @ HOU	04/10/2022	W	48	130	45	87	51.7	21	38	55.3	19	24	79.2	13	37	50	29	13	4	4	19	16
DET	DET @ PHI	04/10/2022	L	48	106	38	83	45.8	11	34	32.4	19	29	65.5	15	27	42	26	20	4	4	16	-12
WAS	WAS @ CHA	04/10/2022	L	48	108	42	94	44.7	8	23	34.8	16	26	61.5	17	26	43	25	11	12	3	16	-16
IND	IND @ BKN	04/10/2022	L	48	126	47	104	45.2	19	46	41.3	13	19	68.4	11	19	30	32	7	16	1	23	-8
TOR	TOR @ NYK	04/10/2022	L	48	94	36	92	39.1	12	42	28.6	10	11	90.9	9	34	43	27	14	10	2	17	-11
ORL	ORL vs. MIA	04/10/2022	W	48	125	45	91	49.5	23	58	39.7	12	14	85.7	6	42	48	33	10	4	3	16	14
BOS	BOS @ MEM	04/10/2022	W	48	139	54	99	54.5	18	48	37.5	13	13	100	14	42	56	34	15	5	2	20	29
POR	POR vs. UTA	04/10/2022	L	48	80	31	83	37.3	9	34	26.5	9	12	75.0	5	27	32	21	16	11	8	27	-31
MIL	MIL @ CLE	04/10/2022	L	48	115	39	88	44.3	12	30	40.0	25	32	78.1	8	33	41	27	12	7	2	14	-18
UTA	UTA @ POR	04/10/2022	W	48	111	37	82	45.1	9	36	25.0	28	38	73.7	15	45	60	23	17	8	6	16	31
PHI	PHI vs. DET	04/10/2022	W	48	118	46	88	52.3	5	25	20.0	21	23	91.3	10	32	42	25	11	13	6	23	12
MIA	MIA @ ORL	04/10/2022	L	48	111	40	94	42.6	19	50	38.0	12	16	75.0	10	37	47	20	10	5	4	13	-14
SAC	SAC @ PHX	04/10/2022	W	48	116	40	76	52.6	14	26	53.8	22	30	73.3	2	38	40	26	15	9	7	18	7
MEM	MEM vs. BOS	04/10/2022	L	48	110	39	102	38.2	15	47	31.9	17	27	63.0	19	26	45	27	10	11	6	16	-29
DEN	DEN vs. LAL	04/10/2022	L	53	141	49	100	49.0	15	47	31.9	28	36	77.8	11	34	45	33	14	10	7	34	-5
CLE	CLE vs. MIL	04/10/2022	W	48	133	51	94	54.3	19	38	50.0	12	17	70.6	10	38	48	39	12	5	5	26	18
LAC	LAC vs. OKC	04/10/2022	W	48	138	54	97	55.7	18	35	51.4	12	14	85.7	12	45	57	34	9	4	8	11	50
MIN	MIN vs. CHI	04/10/2022	L	48	120	46	91	50.5	11	31	35.5	17	22	77.3	9	23	32	30	13	7	9	23	-4
OKC	OKC @ LAC	04/10/2022	L	48	88	37	98	37.8	9	34	26.5	5	9	55.6	12	28	40	17	10	6	2	16	-50
BKN	BKN vs. IND	04/10/2022	W	48	134	52	81	64.2	8	22	36.4	22	25	88.0	8	42	50	30	21	5	6	16	8
PHX	PHX vs. SAC	04/10/2022	L	48	109	42	103	40.8	14	47	29.8	11	15	73.3	18	32	50	27	11	9	7	25	-7
DAL	DAL vs. SAS	04/10/2022	W	48	130	46	85	54.1	20	36	55.6	18	23	78.3	10	33	43	34	16	5	3	16	10
GSW	GSW @ NOP	04/10/2022	W	48	128	49	81	60.5	19	33	57.6	11	13	84.6	7	34	41	33	17	5	2	15	21
LAL	LAL @ DEN	04/10/2022	W	53	146	44	94	46.8	16	43	37.2	42	47	89.4	13	37	50	26	13	4	6	24	5
PHI	PHI vs. IND	04/09/2022	W	48	133	50	90	55.6	12	34	35.3	21	27	77.8	14	28	42	37	15	14	3	24	13
IND	IND @ PHI	04/09/2022	L	48	120	41	78	52.6	10	23	43.5	28	36	77.8	7	24	31	28	17	8	6	22	-13
LAC	LAC vs. SAC	04/09/2022	W	48	117	42	86	48.8	21	43	48.8	12	15	80.0	10	38	48	29	17	7	3	22	19
GSW	GSW @ SAS	04/09/2022	W	48	100	33	81	40.7	8	32	25.0	26	33	78.8	13	38	51	23	12	8	1	22	6
NOP	NOP @ MEM	04/09/2022	L	48	114	41	91	45.1	6	30	20.0	26	35	74.3	9	20	29	23	16	10	3	22	-27
SAS	SAS vs. GSW	04/09/2022	L	48	94	32	80	40.0	10	31	32.3	20	27	74.1	4	37	41	19	12	5	3	24	-6
MEM	MEM vs. NOP	04/09/2022	W	48	141	53	90	58.9	18	35	51.4	17	23	73.9	13	35	48	41	19	6	9	24	27
SAC	SAC @ LAC	04/09/2022	L	48	98	38	86	44.2	7	28	25.0	15	24	62.5	7	35	42	24	13	12	2	16	-19
MIL	MIL @ DET	04/08/2022	W	48	131	50	101	49.5	11	37	29.7	20	23	87.0	10	41	51	29	8	7	1	20	30
CLE	CLE @ BKN	04/08/2022	L	48	107	40	82	48.8	8	27	29.6	19	24	79.2	10	21	31	19	9	4	4	20	-11
CHI	CHI vs. CHA	04/08/2022	L	48	117	44	82	53.7	13	24	54.2	16	20	80.0	6	25	31	25	12	7	1	12	-16
BKN	BKN vs. CLE	04/08/2022	W	48	118	43	92	46.7	12	32	37.5	20	21	95.2	13	32	45	30	11	5	8	20	11
OKC	OKC @ LAL	04/08/2022	L	48	101	40	88	45.5	6	29	20.7	15	19	78.9	9	35	44	21	14	5	3	26	-19
NYK	NYK @ WAS	04/08/2022	W	48	114	41	88	46.6	16	39	41.0	16	20	80.0	10	32	42	27	10	13	3	19	22
WAS	WAS vs. NYK	04/08/2022	L	48	92	35	69	50.7	9	28	32.1	13	17	76.5	2	35	37	21	22	5	5	19	-22
TOR	TOR vs. HOU	04/08/2022	W	48	117	44	96	45.8	7	29	24.1	22	23	95.7	13	28	41	20	10	13	4	18	2
DAL	DAL vs. POR	04/08/2022	W	48	128	42	79	53.2	20	45	44.4	24	31	77.4	9	42	51	25	15	9	5	19	50
DET	DET vs. MIL	04/08/2022	L	48	101	35	90	38.9	10	48	20.8	21	23	91.3	9	34	43	27	14	6	5	22	-30
MIA	MIA vs. ATL	04/08/2022	W	48	113	40	72	55.6	11	26	42.3	22	28	78.6	4	29	33	20	17	9	1	17	4
LAL	LAL vs. OKC	04/08/2022	W	48	120	41	82	50.0	9	31	29.0	29	39	74.4	7	38	45	23	10	8	4	17	19
UTA	UTA vs. PHX	04/08/2022	L	48	105	35	88	39.8	11	38	28.9	24	33	72.7	15	29	44	20	11	8	4	18	-6
CHA	CHA @ CHI	04/08/2022	W	48	133	52	86	60.5	19	40	47.5	10	10	100	8	30	38	34	11	7	4	21	16
POR	POR @ DAL	04/08/2022	L	48	78	31	83	37.3	7	32	21.9	9	12	75.0	5	24	29	20	17	9	2	23	-50
PHX	PHX @ UTA	04/08/2022	W	48	111	46	92	50.0	6	19	31.6	13	15	86.7	11	35	46	27	13	7	3	25	6
ATL	ATL @ MIA	04/08/2022	L	48	109	42	88	47.7	8	34	23.5	17	19	89.5	13	30	43	17	15	9	0	23	-4
HOU	HOU @ TOR	04/08/2022	L	48	115	43	81	53.1	10	29	34.5	19	24	79.2	7	34	41	24	19	6	3	19	-2
DEN	DEN vs. MEM	04/07/2022	W	48	122	44	80	55.0	12	30	40.0	22	25	88.0	8	35	43	27	19	7	2	22	13
CHA	CHA vs. ORL	04/07/2022	W	48	128	48	92	52.2	12	34	35.3	20	27	74.1	10	46	56	29	12	9	10	17	27
GSW	GSW vs. LAL	04/07/2022	W	48	128	51	97	52.6	16	32	50.0	10	10	100	9	36	45	39	15	10	5	26	16
MEM	MEM @ DEN	04/07/2022	L	48	109	42	89	47.2	11	28	39.3	14	19	73.7	10	24	34	30	13	8	3	21	-13
SAS	SAS @ MIN	04/07/2022	L	48	121	43	89	48.3	10	28	35.7	25	34	73.5	8	37	45	31	12	5	5	22	-6
ORL	ORL @ CHA	04/07/2022	L	48	101	38	95	40.0	15	48	31.3	10	13	76.9	8	35	43	27	16	6	4	22	-27
LAL	LAL @ GSW	04/07/2022	L	48	112	37	83	44.6	9	32	28.1	29	38	76.3	8	34	42	14	19	8	4	13	-16
POR	POR @ NOP	04/07/2022	L	48	94	36	69	52.2	11	31	35.5	11	13	84.6	3	24	27	28	22	10	4	27	-33
BOS	BOS @ MIL	04/07/2022	L	48	121	43	87	49.4	21	50	42.0	14	19	73.7	8	36	44	30	16	8	4	15	-6
TOR	TOR vs. PHI	04/07/2022	W	48	119	45	91	49.5	15	33	45.5	14	18	77.8	12	29	41	22	11	7	4	17	5
MIN	MIN vs. SAS	04/07/2022	W	48	127	41	96	42.7	20	53	37.7	25	31	80.6	13	34	47	25	11	8	2	29	6
PHI	PHI @ TOR	04/07/2022	L	48	114	37	75	49.3	19	36	52.8	21	25	84.0	6	31	37	26	17	7	3	18	-5
NOP	NOP vs. POR	04/07/2022	W	48	127	44	93	47.3	13	37	35.1	26	31	83.9	23	26	49	31	12	15	1	14	33
MIL	MIL vs. BOS	04/07/2022	W	48	127	49	97	50.5	14	38	36.8	15	21	71.4	14	34	48	27	11	13	5	19	6
UTA	UTA vs. OKC	04/06/2022	W	48	137	49	84	58.3	15	36	41.7	24	32	75.0	16	39	55	29	13	7	10	13	36
LAC	LAC vs. PHX	04/06/2022	W	48	113	33	75	44.0	12	34	35.3	35	44	79.5	9	46	55	20	17	7	9	17	4
WAS	WAS @ ATL	04/06/2022	L	48	103	42	86	48.8	10	35	28.6	9	11	81.8	6	38	44	26	14	4	4	17	-15
ATL	ATL vs. WAS	04/06/2022	W	48	118	43	92	46.7	16	39	41.0	16	19	84.2	7	32	39	26	6	11	1	13	15
BOS	BOS @ CHI	04/06/2022	W	48	117	43	88	48.9	17	37	45.9	14	22	63.6	8	34	42	29	13	11	6	18	23
NYK	NYK vs. BKN	04/06/2022	L	48	98	32	83	38.6	13	38	34.2	21	36	58.3	10	32	42	22	11	4	7	19	-12
DAL	DAL @ DET	04/06/2022	W	48	131	45	80	56.3	15	33	45.5	26	34	76.5	8	33	41	28	10	8	1	24	18
PHX	PHX @ LAC	04/06/2022	L	48	109	42	108	38.9	17	48	35.4	8	12	66.7	18	36	54	29	12	11	2	26	-4
DET	DET vs. DAL	04/06/2022	L	48	113	35	82	42.7	11	30	36.7	32	35	91.4	11	31	42	26	11	7	5	21	-18
CHI	CHI vs. BOS	04/06/2022	L	48	94	35	80	43.8	7	23	30.4	17	23	73.9	7	33	40	19	17	7	4	22	-23
BKN	BKN @ NYK	04/06/2022	W	48	110	41	93	44.1	14	41	34.1	14	18	77.8	13	36	49	28	14	7	6	26	12
OKC	OKC @ UTA	04/06/2022	L	48	101	37	90	41.1	16	37	43.2	11	17	64.7	11	21	32	27	10	9	1	22	-36
UTA	UTA vs. MEM	04/05/2022	W	53	121	40	96	41.7	12	38	31.6	29	43	67.4	13	48	61	23	17	8	8	21	6
TOR	TOR vs. ATL	04/05/2022	W	48	118	44	101	43.6	9	35	25.7	21	31	67.7	20	40	60	20	8	6	5	14	10
CHA	CHA @ MIA	04/05/2022	L	48	115	45	85	52.9	12	38	31.6	13	18	72.2	7	24	31	34	15	8	3	18	-29
CHI	CHI vs. MIL	04/05/2022	L	48	106	42	98	42.9	9	33	27.3	13	13	100	13	29	42	22	15	8	2	21	-21
LAL	LAL @ PHX	04/05/2022	L	48	110	39	86	45.3	9	29	31.0	23	30	76.7	7	39	46	22	16	7	3	14	-11
MIN	MIN vs. WAS	04/05/2022	L	48	114	41	91	45.1	14	41	34.1	18	25	72.0	6	32	38	27	10	6	3	16	-18
SAC	SAC vs. NOP	04/05/2022	L	48	109	39	76	51.3	11	30	36.7	20	22	90.9	3	31	34	28	15	4	3	20	-14
ATL	ATL @ TOR	04/05/2022	L	48	108	43	94	45.7	14	37	37.8	8	12	66.7	10	33	43	31	7	5	4	22	-10
OKC	OKC vs. POR	04/05/2022	W	48	98	39	81	48.1	9	29	31.0	11	22	50.0	13	34	47	15	17	12	12	10	4
PHI	PHI @ IND	04/05/2022	W	48	131	47	87	54.0	23	40	57.5	14	18	77.8	5	31	36	34	16	8	3	14	9
POR	POR @ OKC	04/05/2022	L	48	94	35	83	42.2	11	32	34.4	13	16	81.3	10	30	40	24	17	10	6	19	-4
ORL	ORL vs. CLE	04/05/2022	W	48	120	47	93	50.5	16	35	45.7	10	15	66.7	8	35	43	31	7	9	8	19	5
DEN	DEN vs. SAS	04/05/2022	L	48	97	41	98	41.8	7	33	21.2	8	12	66.7	10	41	51	22	11	4	2	19	-19
CLE	CLE @ ORL	04/05/2022	L	48	115	42	86	48.8	16	36	44.4	15	22	68.2	9	38	47	25	12	6	4	11	-5
MIA	MIA vs. CHA	04/05/2022	W	48	144	48	84	57.1	23	42	54.8	25	29	86.2	8	33	41	29	15	10	1	19	29
PHX	PHX vs. LAL	04/05/2022	W	48	121	50	102	49.0	14	39	35.9	7	9	77.8	11	42	53	38	14	10	4	22	11
HOU	HOU @ BKN	04/05/2022	L	48	105	40	99	40.4	11	43	25.6	14	25	56.0	18	30	48	18	11	8	6	20	-13
NOP	NOP @ SAC	04/05/2022	W	48	123	45	88	51.1	12	25	48.0	21	26	80.8	14	30	44	26	13	13	2	20	14
MIL	MIL @ CHI	04/05/2022	W	48	127	46	87	52.9	12	35	34.3	23	25	92.0	8	39	47	32	14	8	8	19	21
SAS	SAS @ DEN	04/05/2022	W	48	116	44	89	49.4	12	26	46.2	16	24	66.7	5	43	48	31	11	6	3	14	19
WAS	WAS @ MIN	04/05/2022	W	48	132	56	101	55.4	13	30	43.3	7	14	50.0	9	43	52	38	10	4	4	25	18
BKN	BKN vs. HOU	04/05/2022	W	48	118	39	86	45.3	15	37	40.5	25	27	92.6	12	40	52	22	17	6	9	23	13
MEM	MEM @ UTA	04/05/2022	L	53	115	39	101	38.6	13	31	41.9	24	29	82.8	10	41	51	26	13	13	7	29	-6
IND	IND vs. PHI	04/05/2022	L	48	122	45	95	47.4	12	40	30.0	20	21	95.2	16	32	48	29	16	8	10	18	-9
IND	IND vs. DET	04/03/2022	L	48	117	45	94	47.9	12	38	31.6	15	19	78.9	17	41	58	33	19	6	11	21	-4
DAL	DAL @ MIL	04/03/2022	W	48	118	39	76	51.3	16	38	42.1	24	27	88.9	2	36	38	28	14	7	3	20	6
OKC	OKC vs. PHX	04/03/2022	W	48	117	43	87	49.4	17	41	41.5	14	18	77.8	12	42	54	33	18	7	4	18	21
SAC	SAC vs. GSW	04/03/2022	L	48	90	31	81	38.3	7	33	21.2	21	24	87.5	6	29	35	19	13	5	1	15	-19
CLE	CLE vs. PHI	04/03/2022	L	48	108	35	78	44.9	15	33	45.5	23	31	74.2	7	34	41	24	12	10	3	28	-4
BOS	BOS vs. WAS	04/03/2022	W	48	144	56	91	61.5	23	44	52.3	9	13	69.2	7	32	39	39	8	6	5	20	42
MIA	MIA @ TOR	04/03/2022	W	48	114	41	79	51.9	18	38	47.4	14	22	63.6	8	30	38	30	17	9	4	21	5
HOU	HOU vs. MIN	04/03/2022	L	48	132	48	85	56.5	16	40	40.0	20	29	69.0	11	25	36	28	24	8	4	24	-7
DEN	DEN @ LAL	04/03/2022	W	48	129	47	82	57.3	12	31	38.7	23	29	79.3	6	32	38	33	12	10	5	18	11
ORL	ORL vs. NYK	04/03/2022	L	48	88	30	85	35.3	12	44	27.3	16	27	59.3	8	32	40	18	11	5	2	12	-30
MIL	MIL vs. DAL	04/03/2022	L	48	112	42	95	44.2	15	40	37.5	13	18	72.2	10	26	36	25	9	9	1	22	-6
PHX	PHX @ OKC	04/03/2022	L	48	96	37	89	41.6	7	38	18.4	15	17	88.2	6	27	33	22	11	14	4	17	-21
LAL	LAL vs. DEN	04/03/2022	L	48	118	49	92	53.3	6	20	30.0	14	21	66.7	6	34	40	31	13	4	5	25	-11
WAS	WAS @ BOS	04/03/2022	L	48	102	38	82	46.3	8	21	38.1	18	20	90.0	7	25	32	21	12	4	2	14	-42
PHI	PHI @ CLE	04/03/2022	W	48	112	33	80	41.3	11	31	35.5	35	42	83.3	12	38	50	23	14	7	8	19	4
GSW	GSW @ SAC	04/03/2022	W	48	109	41	79	51.9	16	34	47.1	11	15	73.3	7	40	47	29	17	8	8	28	19
LAC	LAC vs. NOP	04/03/2022	W	48	119	45	95	47.4	21	44	47.7	8	10	80.0	12	29	41	33	10	10	5	21	19
NYK	NYK @ ORL	04/03/2022	W	48	118	45	93	48.4	15	44	34.1	13	16	81.3	13	43	56	29	10	9	7	22	30
SAS	SAS vs. POR	04/03/2022	W	48	113	38	84	45.2	14	42	33.3	23	30	76.7	10	41	51	25	13	9	1	18	21
POR	POR @ SAS	04/03/2022	L	48	92	33	84	39.3	16	45	35.6	10	15	66.7	7	32	39	22	14	7	4	22	-21
