TEAM	MATCH_UP	GAME_DATE	W_L	MIN	PTS	FGM	FGA	FG	3PM	3PA	3P	FTM	FTA	FT	OREB	DREB	REB	AST	TOV	STL	BLK	PF	+/-
CLE	CLE vs. MIA	11/20/2022	W	48	113	44	83	53.0	13	37	35.1	12	16	75.0	13	36	49	31	20	7	1	23	26
MIA	MIA @ CLE	11/20/2022	L	48	87	31	80	38.8	6	31	19.4	19	22	86.4	11	19	30	17	16	6	3	16	-26
LAL	LAL vs. SAS	11/20/2022	W	48	123	45	85	52.9	12	34	35.3	21	24	87.5	5	49	54	29	15	5	2	10	31
DEN	DEN @ DAL	11/20/2022	W	48	98	37	78	47.4	9	27	33.3	15	19	78.9	4	40	44	22	16	10	5	20	1
GSW	GSW @ HOU	11/20/2022	W	48	127	46	86	53.5	24	47	51.1	11	15	73.3	8	32	40	38	17	8	5	22	7
DAL	DAL vs. DEN	11/20/2022	L	48	97	35	78	44.9	15	42	35.7	12	21	57.1	6	30	36	24	13	5	3	18	-1
NYK	NYK @ PHX	11/20/2022	L	48	95	34	85	40.0	7	25	28.0	20	25	80.0	10	29	39	20	11	4	7	15	-21
TOR	TOR @ ATL	11/19/2022	L	53	122	48	108	44.4	8	37	21.6	18	22	81.8	17	34	51	27	14	11	6	25	-2
LAC	LAC vs. SAS	11/19/2022	W	48	119	44	81	54.3	21	40	52.5	10	19	52.6	7	28	35	32	13	9	1	20	22
PHI	PHI vs. MIN	11/19/2022	L	48	109	34	71	47.9	14	32	43.8	27	32	84.4	4	35	39	21	22	10	1	24	-3
IND	IND vs. ORL	11/19/2022	W	48	114	41	90	45.6	18	46	39.1	14	19	73.7	12	30	42	27	15	5	6	18	1
SAS	SAS @ LAC	11/19/2022	L	48	97	36	87	41.4	7	26	26.9	18	21	85.7	15	28	43	22	15	4	2	13	-22
ORL	ORL @ IND	11/19/2022	L	48	113	39	91	42.9	16	42	38.1	19	26	73.1	11	30	41	16	11	8	6	17	-1
POR	POR vs. UTA	11/19/2022	L	48	113	39	83	47.0	13	42	31.0	22	27	81.5	10	33	43	27	18	11	8	22	-5
ATL	ATL vs. TOR	11/19/2022	W	53	124	46	92	50.0	7	25	28.0	25	32	78.1	11	39	50	23	15	5	5	20	2
UTA	UTA @ POR	11/19/2022	W	48	118	42	91	46.2	14	39	35.9	20	23	87.0	11	31	42	23	13	6	4	20	5
MIN	MIN @ PHI	11/19/2022	W	48	112	40	85	47.1	12	36	33.3	20	24	83.3	8	35	43	28	20	9	2	25	3
DET	DET @ LAL	11/18/2022	L	48	121	43	92	46.7	11	34	32.4	24	32	75.0	10	27	37	27	11	9	4	30	-7
HOU	HOU vs. IND	11/18/2022	L	48	91	29	86	33.7	6	28	21.4	27	32	84.4	14	35	49	15	17	8	4	24	-8
NOP	NOP vs. BOS	11/18/2022	L	48	109	43	87	49.4	13	35	37.1	10	13	76.9	7	30	37	24	13	13	3	18	-8
MIL	MIL @ PHI	11/18/2022	L	48	102	41	90	45.6	12	36	33.3	8	21	38.1	8	34	42	22	13	8	7	18	-8
CHI	CHI vs. ORL	11/18/2022	L	48	107	41	89	46.1	5	21	23.8	20	25	80.0	13	33	46	27	11	6	6	19	-1
WAS	WAS vs. MIA	11/18/2022	W	53	107	41	96	42.7	15	46	32.6	10	14	71.4	8	46	54	33	16	6	4	25	1
UTA	UTA vs. PHX	11/18/2022	W	48	134	51	91	56.0	16	31	51.6	16	24	66.7	11	25	36	32	17	6	3	28	1
PHI	PHI vs. MIL	11/18/2022	W	48	110	40	78	51.3	13	28	46.4	17	26	65.4	6	35	41	28	18	5	5	18	8
ORL	ORL @ CHI	11/18/2022	W	48	108	38	77	49.4	12	28	42.9	20	22	90.9	6	35	41	25	16	4	7	25	1
MEM	MEM vs. OKC	11/18/2022	W	48	121	39	93	41.9	14	39	35.9	29	40	72.5	17	40	57	26	11	4	7	13	11
